"date","zip_code","single_fam_val","bottom_tier","HPI_2000","HPI","annual_change","city"
2005-06-01,"70112",141547.583333333,NA,139.584117647059,250.793529411765,7.76764705882353,"New Orleans"
2005-10-01,"70112",145113.666666667,NA,139.584117647059,250.793529411765,7.76764705882353,"New Orleans"
2005-06-01,"70113",159019,NA,139.584117647059,250.793529411765,7.76764705882353,"New Orleans"
2005-10-01,"70113",168360,NA,139.584117647059,250.793529411765,7.76764705882353,"New Orleans"
2005-06-01,"70114",141547.583333333,NA,137.73,217.71,4.71,"New Orleans"
2005-10-01,"70114",145113.666666667,NA,137.73,217.71,4.71,"New Orleans"
2005-06-01,"70115",118757,NA,151.43,388.31,8.21,"New Orleans"
2005-10-01,"70115",122529,NA,151.43,388.31,8.21,"New Orleans"
2005-06-01,"70116",141547.583333333,NA,137.16,244.04,12.48,"New Orleans"
2005-10-01,"70116",145113.666666667,NA,137.16,244.04,12.48,"New Orleans"
2005-06-01,"70117",34538,NA,153.27,234.45,10.88,"New Orleans"
2005-10-01,"70117",35808,NA,153.27,234.45,10.88,"New Orleans"
2005-06-01,"70118",252756,NA,152.46,222.82,10.38,"New Orleans"
2005-10-01,"70118",258473,NA,152.46,222.82,10.38,"New Orleans"
2005-06-01,"70119",72145,NA,157.93,235.85,13.18,"New Orleans"
2005-10-01,"70119",75141,NA,157.93,235.85,13.18,"New Orleans"
2005-06-01,"70121",141547.583333333,NA,139.16,224.31,8.12,"New Orleans"
2005-10-01,"70121",145113.666666667,NA,139.16,224.31,8.12,"New Orleans"
2005-06-01,"70122",141547.583333333,NA,136.67,311.49,5.04,"New Orleans"
2005-10-01,"70122",145113.666666667,NA,136.67,311.49,5.04,"New Orleans"
2005-06-01,"70123",281790,NA,131.51,387.22,8.98,"New Orleans"
2005-10-01,"70123",291531,NA,131.51,387.22,8.98,"New Orleans"
2005-06-01,"70124",141547.583333333,NA,142.46,345.62,7.43,"New Orleans"
2005-10-01,"70124",145113.666666667,NA,142.46,345.62,7.43,"New Orleans"
2005-06-01,"70125",114797,NA,147.88,204,6.11,"New Orleans"
2005-10-01,"70125",117949,NA,147.88,204,6.11,"New Orleans"
2005-06-01,"70126",111049,NA,124.84,151.6,-0.26,"New Orleans"
2005-10-01,"70126",110934,NA,124.84,151.6,-0.26,"New Orleans"
2005-06-01,"70127",120131,NA,135.15,251.49,3.31,"New Orleans"
2005-10-01,"70127",121292,NA,135.15,251.49,3.31,"New Orleans"
2005-06-01,"70128",130231,NA,125.09,227.44,2.85,"New Orleans"
2005-10-01,"70128",129253,NA,125.09,227.44,2.85,"New Orleans"
2005-06-01,"70129",181946,NA,119.38,180.58,10.23,"New Orleans"
2005-10-01,"70129",187219,NA,119.38,180.58,10.23,"New Orleans"
2005-06-01,"70130",141547.583333333,NA,152.02,250.68,13.95,"New Orleans"
2005-10-01,"70130",145113.666666667,NA,152.02,250.68,13.95,"New Orleans"
2005-06-01,"70131",121412,NA,128.79,185.88,6.45,"New Orleans"
2005-10-01,"70131",122875,NA,128.79,185.88,6.45,"New Orleans"
2005-06-01,"70139",141547.583333333,NA,139.584117647059,250.793529411765,7.76764705882353,"New Orleans"
2005-10-01,"70139",145113.666666667,NA,139.584117647059,250.793529411765,7.76764705882353,"New Orleans"
2005-06-01,"70163",141547.583333333,NA,139.584117647059,250.793529411765,7.76764705882353,"New Orleans"
2005-10-01,"70163",145113.666666667,NA,139.584117647059,250.793529411765,7.76764705882353,"New Orleans"
2017-08-01,"95401",154655,NA,192.34,1227.41,8.61,"Coffey Park"
2017-10-01,"95401",158122,NA,192.34,1227.41,8.61,"Coffey Park"
2017-12-01,"95401",161345,NA,192.34,1227.41,8.61,"Coffey Park"
2017-08-01,"95403",139696,NA,188.6,1165.55,8.8,"Coffey Park"
2017-10-01,"95403",139561,NA,188.6,1165.55,8.8,"Coffey Park"
2017-12-01,"95403",141201,NA,188.6,1165.55,8.8,"Coffey Park"
2017-08-01,"95404",201327.6,NA,192,1288.03,9.28,"Coffey Park"
2017-10-01,"95404",202275.6,NA,192,1288.03,9.28,"Coffey Park"
2017-12-01,"95404",203520.8,NA,192,1288.03,9.28,"Coffey Park"
2017-08-01,"95405",456253,NA,186.66,1205.89,7.36,"Coffey Park"
2017-10-01,"95405",456096,NA,186.66,1205.89,7.36,"Coffey Park"
2017-12-01,"95405",457900,NA,186.66,1205.89,7.36,"Coffey Park"
2017-08-01,"95407",102270,NA,188.63,960.2,10.09,"Coffey Park"
2017-10-01,"95407",102741,NA,188.63,960.2,10.09,"Coffey Park"
2017-12-01,"95407",101222,NA,188.63,960.2,10.09,"Coffey Park"
2017-08-01,"95409",153764,NA,186.44,1277.57,5.9,"Coffey Park"
2017-10-01,"95409",154858,NA,186.44,1277.57,5.9,"Coffey Park"
2017-12-01,"95409",155936,NA,186.44,1277.57,5.9,"Coffey Park"
2017-08-01,"73160",65418,NA,160.69,347.35,3.94,"Moore"
2017-10-01,"73160",67716,NA,160.69,347.35,3.94,"Moore"
2017-12-01,"73160",67889,NA,160.69,347.35,3.94,"Moore"
2017-08-01,"73165",65418,NA,163.06,229.7,5.01,"Moore"
2017-10-01,"73165",67716,NA,163.06,229.7,5.01,"Moore"
2017-12-01,"73165",67889,NA,163.06,229.7,5.01,"Moore"
2017-08-01,"73170",65418,NA,144.18,215.7,1.75,"Moore"
2017-10-01,"73170",67716,NA,144.18,215.7,1.75,"Moore"
2017-12-01,"73170",67889,NA,144.18,215.7,1.75,"Moore"
2010-02-01,"70358",70088,NA,NA,NA,NA,"Grand Isle"
2010-04-01,"70358",69787,NA,NA,NA,NA,"Grand Isle"
2010-06-01,"70358",70285,NA,NA,NA,NA,"Grand Isle"
2014-09-01,"14201",138495.1,89533.1,242.8,206.67,22.67,"Buffalo"
2014-11-01,"14201",139541.8,90056.1,242.8,206.67,22.67,"Buffalo"
2015-01-01,"14201",140795.7,90982.2,262.17,223.16,7.98,"Buffalo"
2014-09-01,"14202",138495.1,89533.1,156.807272727273,267.39,6.585,"Buffalo"
2014-11-01,"14202",139541.8,90056.1,156.807272727273,267.39,6.585,"Buffalo"
2015-01-01,"14202",140795.7,90982.2,198.38,169.6,5.185,"Buffalo"
2014-09-01,"14203",138495.1,89533.1,156.807272727273,267.39,6.585,"Buffalo"
2014-11-01,"14203",139541.8,90056.1,156.807272727273,267.39,6.585,"Buffalo"
2015-01-01,"14203",140795.7,90982.2,167.220869565217,274.637391304348,5.185,"Buffalo"
2014-09-01,"14204",138495.1,89533.1,156.807272727273,267.39,6.585,"Buffalo"
2014-11-01,"14204",139541.8,90056.1,156.807272727273,267.39,6.585,"Buffalo"
2015-01-01,"14204",140795.7,90982.2,167.220869565217,274.637391304348,5.185,"Buffalo"
2014-09-01,"14206",138495.1,89533.1,115.76,167,-1.27,"Buffalo"
2014-11-01,"14206",139541.8,90056.1,115.76,167,-1.27,"Buffalo"
2015-01-01,"14206",140795.7,90982.2,127.79,184.36,10.39,"Buffalo"
2014-09-01,"14207",138495.1,89533.1,169.42,121.65,-2.01,"Buffalo"
2014-11-01,"14207",139541.8,90056.1,169.42,121.65,-2.01,"Buffalo"
2015-01-01,"14207",140795.7,90982.2,224.82,161.42,32.7,"Buffalo"
2014-09-01,"14208",145621,79997,156.807272727273,267.39,6.585,"Buffalo"
2014-11-01,"14208",146645,80607,156.807272727273,267.39,6.585,"Buffalo"
2015-01-01,"14208",146321,80129,167.220869565217,274.637391304348,5.185,"Buffalo"
2014-09-01,"14209",138495.1,89533.1,194.59,200.11,10.46,"Buffalo"
2014-11-01,"14209",139541.8,90056.1,194.59,200.11,10.46,"Buffalo"
2015-01-01,"14209",140795.7,90982.2,217,223.15,11.51,"Buffalo"
2014-09-01,"14210",138495.1,89533.1,119.1,117.34,23.53,"Buffalo"
2014-11-01,"14210",139541.8,90056.1,119.1,117.34,23.53,"Buffalo"
2015-01-01,"14210",140795.7,90982.2,118.17,116.43,-0.78,"Buffalo"
2014-09-01,"14211",100498,60248,156.807272727273,267.39,6.585,"Buffalo"
2014-11-01,"14211",102013,60968,156.807272727273,267.39,6.585,"Buffalo"
2015-01-01,"14211",102284,61205,167.220869565217,274.637391304348,5.185,"Buffalo"
2014-09-01,"14212",138495.1,89533.1,130,107.41,-3.64,"Buffalo"
2014-11-01,"14212",139541.8,90056.1,130,107.41,-3.64,"Buffalo"
2015-01-01,"14212",140795.7,90982.2,119.4,98.65,-8.15,"Buffalo"
2014-09-01,"14213",84555,67018,218.95,191.78,11.26,"Buffalo"
2014-11-01,"14213",84310,66274,218.95,191.78,11.26,"Buffalo"
2015-01-01,"14213",85670,66276,250.74,219.62,14.52,"Buffalo"
2014-09-01,"14214",138495.1,89533.1,162.5,400.89,6.26,"Buffalo"
2014-11-01,"14214",139541.8,90056.1,162.5,400.89,6.26,"Buffalo"
2015-01-01,"14214",140795.7,90982.2,176.08,434.38,8.35,"Buffalo"
2014-09-01,"14215",64788,38026,123.19,189.54,7.75,"Buffalo"
2014-11-01,"14215",66308,39138,123.19,189.54,7.75,"Buffalo"
2015-01-01,"14215",67011,40102,140.59,216.32,14.13,"Buffalo"
2014-09-01,"14216",204252,146460,172.3,445.89,10.93,"Buffalo"
2014-11-01,"14216",206645,148848,172.3,445.89,10.93,"Buffalo"
2015-01-01,"14216",209332,151213,180.95,468.26,5.02,"Buffalo"
2014-09-01,"14217",122634,60885,149.38,304.48,5.9,"Buffalo"
2014-11-01,"14217",123521,61262,149.38,304.48,5.9,"Buffalo"
2015-01-01,"14217",124541,61884,153.79,313.48,2.96,"Buffalo"
2014-09-01,"14218",138495.1,89533.1,141.54,220.11,6.49,"Buffalo"
2014-11-01,"14218",139541.8,90056.1,141.54,220.11,6.49,"Buffalo"
2015-01-01,"14218",140795.7,90982.2,135.76,211.12,-4.09,"Buffalo"
2014-09-01,"14219",138495.1,89533.1,132.34,231.06,3.28,"Buffalo"
2014-11-01,"14219",139541.8,90056.1,132.34,231.06,3.28,"Buffalo"
2015-01-01,"14219",140795.7,90982.2,128.44,224.25,-2.94,"Buffalo"
2014-09-01,"14220",216974,152549,147.76,262.61,2.93,"Buffalo"
2014-11-01,"14220",215092,150465,147.76,262.61,2.93,"Buffalo"
2015-01-01,"14220",217101,153010,156.89,278.85,6.19,"Buffalo"
2014-09-01,"14221",78850,59125,148.55,445.85,4.97,"Buffalo"
2014-11-01,"14221",79411,59620,148.55,445.85,4.97,"Buffalo"
2015-01-01,"14221",79782,59981,152.71,458.32,2.8,"Buffalo"
2014-09-01,"14222",138495.1,89533.1,252.15,430.1,13.13,"Buffalo"
2014-11-01,"14222",139541.8,90056.1,252.15,430.1,13.13,"Buffalo"
2015-01-01,"14222",140795.7,90982.2,257.63,439.45,2.17,"Buffalo"
2014-09-01,"14223",110300,77235,145.55,292.11,4.56,"Buffalo"
2014-11-01,"14223",111905,78196,145.55,292.11,4.56,"Buffalo"
2015-01-01,"14223",113139,79098,145.71,292.43,0.11,"Buffalo"
2014-09-01,"14224",256479,153788,138.85,355.38,3.44,"Buffalo"
2014-11-01,"14224",259568,155183,138.85,355.38,3.44,"Buffalo"
2015-01-01,"14224",262776,156924,141.67,362.6,2.03,"Buffalo"
2014-09-01,"14225",138495.1,89533.1,129.34,233.04,4.49,"Buffalo"
2014-11-01,"14225",139541.8,90056.1,129.34,233.04,4.49,"Buffalo"
2015-01-01,"14225",140795.7,90982.2,129.17,232.73,-0.13,"Buffalo"
2014-09-01,"14226",138495.1,89533.1,147.01,400.59,2.73,"Buffalo"
2014-11-01,"14226",139541.8,90056.1,147.01,400.59,2.73,"Buffalo"
2015-01-01,"14226",140795.7,90982.2,151.69,413.35,3.18,"Buffalo"
2014-09-01,"14227",138495.1,89533.1,125.55,248.28,2.82,"Buffalo"
2014-11-01,"14227",139541.8,90056.1,125.55,248.28,2.82,"Buffalo"
2015-01-01,"14227",140795.7,90982.2,132.1,261.23,5.22,"Buffalo"
2014-09-01,"14228",138495.1,89533.1,143.13,310.69,4.19,"Buffalo"
2014-11-01,"14228",139541.8,90056.1,143.13,310.69,4.19,"Buffalo"
2015-01-01,"14228",140795.7,90982.2,144.43,313.5,0.9,"Buffalo"
