"zip_code","date","single_fam_val","bottom_tier","HPI_2000","HPI","annual_change"
"14201",2022-03-01,183290,153195,NA,NA,NA
"14201",2022-02-01,182232,150226,NA,NA,NA
"14201",2022-01-01,179543,148830,NA,NA,NA
"14201",2021-12-01,177664,148129,394.98,336.2,17.06
"14201",2021-11-01,175912,148069,394.98,336.2,17.06
"14201",2021-10-01,176482,148436,394.98,336.2,17.06
"14201",2021-09-01,175135,148808,394.98,336.2,17.06
"14201",2021-08-01,190703,161460,394.98,336.2,17.06
"14201",2021-07-01,196823,162761,394.98,336.2,17.06
"14201",2021-06-01,197894,160173,394.98,336.2,17.06
"14201",2021-05-01,171866,147684,394.98,336.2,17.06
"14201",2021-04-01,165968,137807,394.98,336.2,17.06
"14201",2021-03-01,163459,130437,394.98,336.2,17.06
"14208",2022-04-01,209358,120516,NA,NA,NA
"14208",2022-03-01,207111,119177,NA,NA,NA
"14208",2022-02-01,204323,117541,NA,NA,NA
"14208",2022-01-01,202333,116650,NA,NA,NA
"14208",2021-12-01,199976,115074,NA,NA,NA
"14208",2021-11-01,198375,113903,NA,NA,NA
"14208",2021-10-01,196376,112547,NA,NA,NA
"14208",2021-09-01,193958,111080,NA,NA,NA
"14208",2021-08-01,192226,109660,NA,NA,NA
"14208",2021-07-01,190281,108380,NA,NA,NA
"14208",2021-06-01,188130,107155,NA,NA,NA
"14208",2021-05-01,183932,104943,NA,NA,NA
"14208",2021-04-01,181660,103980,NA,NA,NA
"14208",2021-03-01,179116,100543,NA,NA,NA
"14208",2021-02-01,177665,99498,NA,NA,NA
"14208",2021-01-01,175530,98329,NA,NA,NA
"14208",2020-12-01,174400,99522,NA,NA,NA
"14208",2020-11-01,173165,97108,NA,NA,NA
"14208",2020-10-01,171711,97421,NA,NA,NA
"14208",2020-09-01,170731,97065,NA,NA,NA
"14208",2020-08-01,170647,97819,NA,NA,NA
"14208",2020-07-01,167999,95013,NA,NA,NA
"14208",2020-06-01,166514,94025,NA,NA,NA
"14208",2020-05-01,165317,94040,NA,NA,NA
"14208",2020-04-01,164939,93805,NA,NA,NA
"14208",2020-03-01,164616,93616,NA,NA,NA
"14208",2020-02-01,164347,93413,NA,NA,NA
"14208",2020-01-01,163898,93081,NA,NA,NA
"14208",2019-12-01,163476,92798,NA,NA,NA
"14208",2019-11-01,163002,92531,NA,NA,NA
"14208",2019-10-01,162626,92355,NA,NA,NA
"14208",2019-09-01,162211,92221,NA,NA,NA
"14208",2019-08-01,162092,92298,NA,NA,NA
"14208",2019-07-01,162079,92280,NA,NA,NA
"14208",2019-06-01,162095,92325,NA,NA,NA
"14208",2019-05-01,161482,91885,NA,NA,NA
"14208",2019-04-01,160799,91532,NA,NA,NA
"14208",2019-03-01,160007,91113,NA,NA,NA
"14208",2019-02-01,158927,90592,NA,NA,NA
"14208",2019-01-01,158361,90442,NA,NA,NA
"14208",2018-12-01,157919,90257,NA,NA,NA
"14208",2018-11-01,157509,90003,NA,NA,NA
"14208",2018-10-01,156941,89540,NA,NA,NA
"14208",2018-09-01,156470,89138,NA,NA,NA
"14208",2018-08-01,156004,88648,NA,NA,NA
"14208",2018-07-01,155586,88297,NA,NA,NA
"14208",2018-06-01,154778,87748,NA,NA,NA
"14208",2018-05-01,154176,87433,NA,NA,NA
"14208",2018-04-01,153435,86956,NA,NA,NA
